profile,fault_rate,topology,method,runs,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,brier_mean,brier_std,ece_mean,ece_std
gpu,0.35,Q4^5,Clustered-PMC,3,0.7508333333333334,0.057136357368433394,1.0,0.0,0.28733333333333333,0.1634483506595687,0.3970666666666667,0.17540799107604343,0.24916666666666668,0.057136357368433394,0.0,0.0
gpu,0.35,Q4^5,UP-GDN,3,0.9998666666666667,0.00023094010767582486,1.0,0.0,0.9996333333333334,0.0006350852961085825,0.9998,0.0003464101615138014,0.03436666666666666,0.006942862041934387,0.1439,0.020526324561401636
gpu,0.4,"AQ(5,4)",Clustered-PMC,3,0.6455666666666666,0.035794040472309524,1.0,0.0,0.1148,0.08946127653907024,0.18433333333333335,0.1261599117522414,0.3544333333333333,0.035794040472309524,0.0,0.0
gpu,0.4,"AQ(5,4)",UP-GDN,3,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.052366666666666666,0.020886917755698984,0.1842,0.0500266928749043
gpu,0.4,Q10,Clustered-PMC,3,0.7194,0.018955737917580498,1.0,0.0,0.2992,0.04738048121325913,0.4104,0.08599790695127409,0.2806,0.018955737917580543,0.0,0.0
gpu,0.4,Q10,UP-GDN,3,0.9996666666666667,0.0004163331998932429,0.9993333333333334,0.0007637626158259498,0.9998333333333334,0.0002886751345947811,0.9996,0.0005291502622129227,0.04773333333333333,0.01574304079056309,0.17053333333333331,0.037464694491391934
gpu,0.4,Q4^5,Clustered-PMC,3,0.7149333333333333,0.013950746694472445,0.9985,0.0025980762113532864,0.28813333333333335,0.034700048030706414,0.4192,0.024690889007891164,0.2850666666666667,0.013950746694472424,0.0,0.0
gpu,0.4,Q4^5,UP-GDN,3,0.9997333333333334,0.00023094010767582486,0.9998333333333334,0.0002886751345947811,0.9995,0.0005000000000000004,0.9996666666666667,0.0002886751345947811,0.0594,0.004660472079092421,0.19556666666666667,0.027421949845576863
gpu,0.45,"AQ(5,4)",Clustered-PMC,3,0.5908333333333333,0.01590859306580355,1.0,0.0,0.0911,0.03540225981487622,0.15726666666666667,0.053876927653062526,0.4091666666666667,0.01590859306580355,0.0,0.0
gpu,0.45,"AQ(5,4)",UP-GDN,3,0.9999333333333333,0.00011547005383791243,0.9998666666666667,0.00023094010767582486,1.0,0.0,0.9999333333333333,0.00011547005383791243,0.059000000000000004,0.017178765962664492,0.2115,0.027727423248473698
gpu,0.45,Q10,Clustered-PMC,3,0.6455333333333334,0.02680099500640476,0.9995666666666667,0.0007505553499464949,0.21273333333333333,0.05938201186666998,0.3345,0.07368086590153512,0.35446666666666665,0.02680099500640479,0.0,0.0
gpu,0.45,Q10,UP-GDN,3,0.9994,0.00040000000000001146,0.999,0.0006557438524302379,0.9997333333333334,0.00023094010767582486,0.9993333333333333,0.0004509249752822972,0.0646,0.014029967925836467,0.20896666666666666,0.03640746260498434
gpu,0.45,Q4^5,Clustered-PMC,3,0.6814333333333333,0.0378806458938246,0.9997333333333334,0.00046188021535171385,0.29253333333333337,0.08406309138577604,0.4027,0.08197950963503013,0.31856666666666666,0.037880645893824644,0.0,0.0
gpu,0.45,Q4^5,UP-GDN,3,0.9994666666666667,0.0006110100926607719,0.9988333333333334,0.0013203534880225814,1.0,0.0,0.9994333333333334,0.0006658328118479271,0.0499,0.007712976079309463,0.18703333333333333,0.021421795754169002
gpu,0.5,"AQ(5,4)",Clustered-PMC,3,0.5343333333333333,0.018553256677288025,0.9333333333333333,0.11547005383792512,0.0686,0.03708139695318934,0.12183333333333334,0.0571703011478279,0.4656666666666667,0.018553256677288056,0.0,0.0
gpu,0.5,"AQ(5,4)",UP-GDN,3,0.9997333333333334,0.00023094010767582486,0.9997333333333334,0.00046188021535171385,0.9997333333333334,0.00046188021535171385,0.9997333333333334,0.00023094010767582486,0.0666,0.025388777048136843,0.2203,0.044518423152667935
