profile,fault_rate,family,topology,method,run,seed,accuracy,precision,recall,f1,brier,ece
gpu,0.3,hypercube,Q10,UP-GDN,3,8576,1.0,1.0,1.0,1.0,0.0115,0.0845
gpu,0.3,hypercube,Q10,Clustered-PMC,3,8576,0.7486,1.0,0.1616,0.2659,0.2514,0.0
gpu,0.3,kary,Q4^5,UP-GDN,1,6578,1.0,1.0,1.0,1.0,0.0417,0.1717
gpu,0.3,kary,Q4^5,Clustered-PMC,1,6578,0.7891,1.0,0.2964,0.4412,0.2109,0.0
gpu,0.3,kary,Q4^5,UP-GDN,2,7580,1.0,1.0,1.0,1.0,0.0176,0.1042
gpu,0.3,kary,Q4^5,Clustered-PMC,2,7580,0.7971,1.0,0.3231,0.4693,0.2029,0.0
gpu,0.3,kary,Q4^5,UP-GDN,3,8582,1.0,1.0,1.0,1.0,0.0225,0.1181
gpu,0.3,kary,Q4^5,Clustered-PMC,3,8582,0.7721,1.0,0.2397,0.364,0.2279,0.0
gpu,0.3,augmented_kary,"AQ(5,4)",UP-GDN,1,6584,1.0,1.0,1.0,1.0,0.0323,0.1428
gpu,0.3,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6584,0.7143,1.0,0.0469,0.0877,0.2857,0.0
gpu,0.3,augmented_kary,"AQ(5,4)",UP-GDN,2,7586,1.0,1.0,1.0,1.0,0.0253,0.1252
gpu,0.3,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7586,0.743,1.0,0.1427,0.231,0.257,0.0
gpu,0.3,augmented_kary,"AQ(5,4)",UP-GDN,3,8588,1.0,1.0,1.0,1.0,0.0397,0.1605
gpu,0.3,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8588,0.7688,1.0,0.2287,0.3509,0.2313,0.0
gpu,0.35,hypercube,Q10,UP-GDN,1,6640,1.0,1.0,1.0,1.0,0.0368,0.1461
gpu,0.35,hypercube,Q10,Clustered-PMC,1,6640,0.6947,1.0,0.1268,0.2217,0.3053,0.0
gpu,0.35,hypercube,Q10,UP-GDN,2,7642,1.0,1.0,1.0,1.0,0.0315,0.1323
gpu,0.35,hypercube,Q10,Clustered-PMC,2,7642,0.7578,1.0,0.3073,0.4275,0.2422,0.0
gpu,0.35,hypercube,Q10,UP-GDN,3,8644,1.0,1.0,1.0,1.0,0.0439,0.1596
gpu,0.35,hypercube,Q10,Clustered-PMC,3,8644,0.7863,1.0,0.3888,0.5416,0.2137,0.0
gpu,0.35,kary,Q4^5,UP-GDN,1,6646,1.0,1.0,1.0,1.0,0.0314,0.134
gpu,0.35,kary,Q4^5,Clustered-PMC,1,6646,0.8164,1.0,0.4749,0.5978,0.1836,0.0
gpu,0.35,kary,Q4^5,UP-GDN,2,7648,1.0,1.0,1.0,1.0,0.0423,0.1675
gpu,0.35,kary,Q4^5,Clustered-PMC,2,7648,0.7117,1.0,0.1754,0.2733,0.2883,0.0
gpu,0.35,kary,Q4^5,UP-GDN,3,8650,0.9996,1.0,0.9989,0.9994,0.0294,0.1302
gpu,0.35,kary,Q4^5,Clustered-PMC,3,8650,0.7244,1.0,0.2117,0.3201,0.2756,0.0
gpu,0.35,augmented_kary,"AQ(5,4)",UP-GDN,1,6652,1.0,1.0,1.0,1.0,0.0415,0.1787
gpu,0.35,augmented_kary,"AQ(5,4)",Clustered-PMC,1,6652,0.6785,1.0,0.0804,0.1448,0.3215,0.0
gpu,0.35,augmented_kary,"AQ(5,4)",UP-GDN,2,7654,1.0,1.0,1.0,1.0,0.0249,0.1186
gpu,0.35,augmented_kary,"AQ(5,4)",Clustered-PMC,2,7654,0.6705,1.0,0.0575,0.1058,0.3295,0.0
gpu,0.35,augmented_kary,"AQ(5,4)",UP-GDN,3,8656,1.0,1.0,1.0,1.0,0.054,0.1905
gpu,0.35,augmented_kary,"AQ(5,4)",Clustered-PMC,3,8656,0.7184,1.0,0.1944,0.2864,0.2816,0.0
gpu,0.4,hypercube,Q10,UP-GDN,1,6708,0.9998,0.9995,1.0,0.9998,0.0349,0.1359
gpu,0.4,hypercube,Q10,Clustered-PMC,1,6708,0.7102,1.0,0.2761,0.3676,0.2898,0.0
